order_id,customer_id,restaurant_name,city,order_datetime,delivery_time_minutes,order_amount,delivery_status
32,3659,Taco Street,Bangalore,2024-01-15 19:50:00,82.0,246.0,Late
33,3126,Curry Corner,Delhi,2024-06-23 11:44:00,68.0,164.0,Late
34,2821,Sushi World,Chennai,2024-02-20 11:13:00,34.0,1482.0,On Time
35,2806,Curry Corner,Chennai,2024-04-17 09:02:00,29.0,,On Time
36,2244,Burger Town,Mumbai,2024-02-24 16:35:00,19.0,681.0,On Time
37,2731,Sushi World,Bangalore,2024-03-04 10:25:00,53.0,981.0,Late
38,4809,Burger Town,Mumbai,2024-05-10 11:13:00,54.0,581.0,Late
39,2622,Biryani House,Delhi,2024-02-20 21:30:00,21.0,,On Time
40,2593,Spicy Hub,Bangalore,2024-05-14 14:13:00,86.0,987.0,Late
41,3018,Spicy Hub,Mumbai,2024-01-21 17:57:00,47.0,1057.0,Late
42,2435,Spicy Hub,Mumbai,2024-03-13 15:39:00,51.0,789.0,Late
43,4550,Pasta Point,Chennai,2024-06-15 15:09:00,46.0,773.0,Late
44,3729,Spicy Hub,Mumbai,2024-01-18 11:08:00,57.0,832.0,Late
45,2120,Burger Town,Mumbai,2024-05-11 22:45:00,77.0,1156.0,Late
46,2681,Burger Town,Bangalore,2024-03-29 14:39:00,50.0,407.0,Late
47,2924,Taco Street,Bangalore,2024-02-29 17:42:00,63.0,513.0,Late
48,3440,Pizza Palace,Chennai,2024-01-14 08:41:00,39.0,1307.0,On Time
49,1467,Pizza Palace,Bangalore,2024-01-09 13:17:00,80.0,1266.0,Late
50,3917,Biryani House,Delhi,2024-03-30 13:35:00,,479.0,On Time
51,4442,Burger Town,Chennai,2024-02-22 13:35:00,32.0,494.0,On Time
52,4464,Spicy Hub,Delhi,2024-05-09 19:11:00,36.0,825.0,On Time
53,3065,Pizza Palace,Bangalore,2024-03-24 09:49:00,29.0,560.0,On Time
54,2207,Sushi World,Bangalore,2024-04-01 15:39:00,21.0,711.0,On Time
55,2166,Burger Town,Chennai,2024-04-20 21:02:00,27.0,938.0,On Time
56,2486,Sushi World,Mumbai,2024-06-20 22:17:00,50.0,235.0,Late
57,4578,Spicy Hub,Hyderabad,2024-01-08 22:06:00,30.0,195.0,On Time
58,2357,Taco Street,Hyderabad,2024-06-23 12:30:00,55.0,1127.0,Late
59,1061,Burger Town,Bangalore,2024-02-04 12:00:00,35.0,494.0,On Time
60,1162,Biryani House,Delhi,2024-03-21 09:30:00,42.0,588.0,On Time
61,1551,Pizza Palace,Chennai,2024-06-12 11:53:00,88.0,397.0,Late
62,3226,Taco Street,Mumbai,2024-02-19 19:12:00,31.0,202.0,On Time
63,4306,Pasta Point,Bangalore,2024-04-13 16:28:00,79.0,1286.0,Late
64,4963,Pizza Palace,Delhi,2024-05-11 16:02:00,27.0,1139.0,On Time
65,2083,Sushi World,Bangalore,2024-01-02 13:28:00,50.0,1144.0,Late
66,2251,Pasta Point,Hyderabad,2024-05-13 18:34:00,72.0,388.0,Late
67,1238,Burger Town,Bangalore,2024-02-23 22:14:00,34.0,,On Time
68,3615,Taco Street,Delhi,2024-04-15 16:20:00,66.0,1471.0,Late
69,3793,Spicy Hub,Hyderabad,2024-01-04 11:18:00,20.0,942.0,On Time
70,3131,Curry Corner,Bangalore,2024-02-23 22:27:00,37.0,914.0,On Time
71,4786,Curry Corner,Hyderabad,2024-05-25 18:03:00,56.0,1461.0,Late
72,3040,Biryani House,Chennai,2024-02-13 08:44:00,38.0,160.0,On Time
73,4112,Pasta Point,Delhi,2024-06-10 09:12:00,19.0,305.0,On Time
74,1437,Taco Street,Delhi,2024-01-14 20:14:00,,602.0,Late
75,1528,Spicy Hub,Chennai,2024-04-04 08:50:00,60.0,888.0,Late
76,1104,Pizza Palace,Delhi,2024-02-17 15:47:00,31.0,1454.0,On Time
77,3584,Curry Corner,Delhi,2024-01-15 16:38:00,89.0,201.0,Late
78,1381,Spicy Hub,Bangalore,2024-02-09 17:31:00,41.0,1352.0,On Time
79,4164,Taco Street,Mumbai,2024-03-22 19:02:00,82.0,1078.0,Late
80,2238,Biryani House,Bangalore,2024-04-20 13:29:00,37.0,1136.0,On Time
81,4976,Taco Street,Chennai,2024-02-22 09:57:00,48.0,1025.0,Late
82,4767,Taco Street,Chennai,2024-01-24 13:19:00,35.0,362.0,On Time
83,3264,Sushi World,Mumbai,2024-06-02 16:01:00,36.0,206.0,On Time
84,3536,Biryani House,Bangalore,2024-05-03 19:49:00,79.0,1134.0,Late
85,1150,Pizza Palace,Bangalore,2024-02-10 10:24:00,46.0,1131.0,Late
86,2397,Biryani House,Bangalore,2024-06-05 16:10:00,76.0,,Late
87,2793,Spicy Hub,Hyderabad,2024-01-15 09:00:00,42.0,1496.0,On Time
88,3860,Biryani House,Hyderabad,2024-02-14 18:47:00,21.0,179.0,On Time
89,1630,Taco Street,Bangalore,2024-03-05 12:48:00,68.0,870.0,Late
90,4520,Sushi World,Hyderabad,2024-03-29 18:47:00,84.0,172.0,Late
91,1421,Burger Town,Bangalore,2024-03-11 09:09:00,28.0,968.0,On Time
92,1645,Biryani House,Chennai,2024-01-09 14:16:00,69.0,887.0,Late
93,2967,Curry Corner,Bangalore,2024-03-28 18:29:00,72.0,490.0,Late
94,1206,Pasta Point,Hyderabad,2024-05-08 17:34:00,58.0,666.0,Late
95,3822,Curry Corner,Mumbai,2024-05-15 22:49:00,60.0,967.0,Late
96,1833,Curry Corner,Chennai,2024-03-03 16:18:00,28.0,405.0,On Time
97,4773,Pasta Point,Delhi,2024-05-18 14:45:00,,1345.0,Late
98,4741,Spicy Hub,Mumbai,2024-03-21 19:52:00,55.0,676.0,Late
99,2500,Burger Town,Mumbai,2024-05-15 12:56:00,87.0,1069.0,Late
100,3635,Spicy Hub,Delhi,2024-06-11 22:33:00,16.0,,On Time
101,3611,Taco Street,Chennai,2024-06-11 11:31:00,19.0,,On Time
102,1225,Spicy Hub,Delhi,2024-02-02 19:11:00,26.0,190.0,On Time
103,4677,Burger Town,Chennai,2024-05-02 11:42:00,61.0,452.0,Late
104,1803,Taco Street,Chennai,2024-01-05 22:16:00,49.0,1299.0,Late
105,2826,Taco Street,Chennai,2024-02-10 17:58:00,33.0,907.0,On Time
106,2857,Biryani House,Mumbai,2024-01-28 15:05:00,77.0,490.0,Late
107,3737,Biryani House,Chennai,2024-05-14 17:50:00,22.0,626.0,On Time
108,4458,Sushi World,Delhi,2024-03-12 20:12:00,37.0,1016.0,On Time
109,3153,Taco Street,Mumbai,2024-01-12 17:38:00,27.0,1160.0,On Time
110,4147,Biryani House,Chennai,2024-06-10 21:21:00,37.0,,On Time
111,1515,Pizza Palace,Hyderabad,2024-02-02 17:10:00,45.0,441.0,On Time
112,2846,Biryani House,Hyderabad,2024-02-17 17:06:00,44.0,981.0,On Time
113,3995,Curry Corner,Chennai,2024-05-30 17:44:00,56.0,704.0,Late
114,1186,Biryani House,Hyderabad,2024-03-02 08:44:00,16.0,829.0,On Time
115,3579,Burger Town,Bangalore,2024-02-06 12:20:00,25.0,679.0,On Time
116,3322,Sushi World,Mumbai,2024-04-08 21:00:00,39.0,1067.0,On Time
117,4719,Taco Street,Bangalore,2024-06-20 09:29:00,43.0,354.0,On Time
118,3586,Burger Town,Mumbai,2024-04-13 20:18:00,36.0,228.0,On Time
119,2998,Pasta Point,Delhi,2024-02-04 18:50:00,33.0,,On Time
120,1647,Pizza Palace,Hyderabad,2024-04-10 16:54:00,87.0,622.0,Late
121,3065,Burger Town,Hyderabad,2024-06-23 14:46:00,55.0,986.0,Late
122,1284,Pasta Point,Hyderabad,2024-05-10 17:45:00,52.0,1072.0,Late
123,4373,Burger Town,Chennai,2024-01-01 15:28:00,43.0,1276.0,On Time
124,4570,Sushi World,Mumbai,2024-01-05 13:34:00,88.0,246.0,Late
125,3979,Pasta Point,Chennai,2024-05-21 16:58:00,36.0,763.0,On Time
126,4970,Curry Corner,Hyderabad,2024-04-12 13:52:00,22.0,969.0,On Time
127,2013,Curry Corner,Delhi,2024-01-27 14:19:00,61.0,397.0,Late
128,3952,Sushi World,Hyderabad,2024-05-16 14:35:00,,,On Time
129,1649,Sushi World,Chennai,2024-01-15 16:38:00,21.0,1495.0,On Time
130,2767,Spicy Hub,Hyderabad,2024-03-30 18:00:00,50.0,1236.0,Late
131,3899,Pasta Point,Bangalore,2024-02-11 15:22:00,22.0,328.0,On Time
132,3304,Spicy Hub,Bangalore,2024-05-03 20:30:00,60.0,1365.0,Late
133,2242,Pizza Palace,Chennai,2024-06-27 08:55:00,78.0,871.0,Late
134,3691,Pasta Point,Bangalore,2024-03-03 11:50:00,45.0,1101.0,On Time
135,2967,Spicy Hub,Mumbai,2024-04-05 14:34:00,37.0,,On Time
136,3404,Spicy Hub,Mumbai,2024-02-21 18:51:00,75.0,1336.0,Late
137,1255,Burger Town,Chennai,2024-04-05 15:46:00,64.0,566.0,Late
138,3655,Burger Town,Bangalore,2024-05-11 14:44:00,60.0,1165.0,Late
139,2297,Pasta Point,Mumbai,2024-05-30 19:21:00,57.0,182.0,Late
140,3381,Sushi World,Bangalore,2024-05-22 10:45:00,24.0,226.0,On Time
141,2836,Taco Street,Hyderabad,2024-06-19 22:06:00,34.0,1023.0,On Time
142,4439,Biryani House,Bangalore,2024-01-29 11:32:00,30.0,370.0,On Time
143,3044,Curry Corner,Bangalore,2024-02-05 19:44:00,17.0,1346.0,On Time
144,3062,Pizza Palace,Chennai,2024-01-13 14:35:00,44.0,235.0,On Time
145,1178,Biryani House,Hyderabad,2024-06-08 15:43:00,32.0,745.0,On Time
146,4516,Spicy Hub,Mumbai,2024-03-11 14:06:00,73.0,449.0,Late
147,4843,Burger Town,Mumbai,2024-03-26 13:26:00,84.0,706.0,Late
148,2426,Curry Corner,Bangalore,2024-01-28 16:01:00,49.0,830.0,Late
149,1087,Pasta Point,Delhi,2024-03-06 16:16:00,33.0,585.0,On Time
150,3141,Biryani House,Delhi,2024-06-18 18:00:00,40.0,1190.0,On Time
151,1844,Spicy Hub,Mumbai,2024-02-14 20:57:00,49.0,199.0,Late
152,4466,Taco Street,Bangalore,2024-03-02 14:45:00,86.0,653.0,Late
153,1027,Curry Corner,Bangalore,2024-05-13 15:29:00,71.0,1029.0,Late
154,3033,Burger Town,Hyderabad,2024-01-28 13:21:00,63.0,1097.0,Late
155,3744,Sushi World,Chennai,2024-01-28 08:27:00,,581.0,On Time
156,3122,Taco Street,Delhi,2024-04-17 08:52:00,43.0,930.0,On Time
157,1053,Taco Street,Bangalore,2024-02-13 13:32:00,85.0,1335.0,Late
158,1320,Biryani House,Mumbai,2024-03-24 09:25:00,82.0,972.0,Late
159,4630,Biryani House,Delhi,2024-01-30 21:34:00,38.0,499.0,On Time
160,3807,Spicy Hub,Chennai,2024-03-15 15:10:00,57.0,151.0,Late
161,4305,Spicy Hub,Bangalore,2024-05-07 08:06:00,53.0,865.0,Late
162,3677,Pizza Palace,Delhi,2024-04-01 20:27:00,39.0,1357.0,On Time
163,2795,Spicy Hub,Bangalore,2024-05-08 09:24:00,82.0,1003.0,Late
164,2253,Burger Town,Chennai,2024-04-30 15:40:00,48.0,,Late
165,2825,Pasta Point,Hyderabad,2024-01-27 19:30:00,67.0,,Late
166,4824,Curry Corner,Delhi,2024-04-30 13:53:00,69.0,,Late
167,1331,Taco Street,Chennai,2024-04-25 19:02:00,67.0,521.0,Late
168,2717,Curry Corner,Hyderabad,2024-01-03 17:32:00,32.0,1006.0,On Time
169,4543,Biryani House,Hyderabad,2024-04-12 09:50:00,21.0,644.0,On Time
170,1316,Sushi World,Chennai,2024-06-03 09:57:00,77.0,186.0,Late
171,3148,Taco Street,Mumbai,2024-05-16 18:33:00,89.0,682.0,Late
172,3295,Taco Street,Chennai,2024-03-02 21:58:00,56.0,423.0,Late
173,4551,Sushi World,Bangalore,2024-06-13 14:20:00,25.0,1356.0,On Time
174,3002,Biryani House,Mumbai,2024-02-20 12:55:00,23.0,750.0,On Time
175,3908,Burger Town,Hyderabad,2024-06-20 12:36:00,49.0,1381.0,Late
176,3917,Curry Corner,Delhi,2024-05-31 15:48:00,79.0,1282.0,Late
177,4696,Taco Street,Hyderabad,2024-02-28 19:18:00,19.0,911.0,On Time
178,1220,Sushi World,Delhi,2024-04-27 19:59:00,40.0,724.0,On Time
179,2362,Taco Street,Delhi,2024-06-08 14:36:00,65.0,882.0,Late
180,1147,Sushi World,Chennai,2024-04-05 19:54:00,52.0,835.0,Late
181,4060,Pizza Palace,Chennai,2024-06-28 21:20:00,17.0,1189.0,On Time
182,2922,Pizza Palace,Hyderabad,2024-04-22 16:13:00,73.0,363.0,Late
183,4367,Pasta Point,Chennai,2024-03-02 11:09:00,27.0,833.0,On Time
184,2732,Burger Town,Hyderabad,2024-02-21 17:52:00,49.0,801.0,Late
185,4478,Burger Town,Chennai,2024-01-12 11:06:00,17.0,896.0,On Time
186,3628,Burger Town,Chennai,2024-02-08 09:28:00,67.0,1493.0,Late
187,1477,Burger Town,Delhi,2024-05-09 10:39:00,,623.0,Late
188,2823,Biryani House,Mumbai,2024-05-10 08:07:00,59.0,945.0,Late
189,4095,Curry Corner,Chennai,2024-04-22 08:38:00,80.0,1260.0,Late
190,4952,Biryani House,Chennai,2024-04-10 14:12:00,81.0,764.0,Late
191,3930,Spicy Hub,Hyderabad,2024-04-22 21:45:00,58.0,1017.0,Late
192,2209,Burger Town,Delhi,2024-03-21 21:18:00,87.0,1100.0,Late
193,1169,Pizza Palace,Delhi,2024-04-22 12:10:00,82.0,547.0,Late
194,2826,Taco Street,Mumbai,2024-01-02 10:01:00,76.0,820.0,Late
195,2567,Spicy Hub,Mumbai,2024-05-09 14:48:00,39.0,212.0,On Time
196,3485,Spicy Hub,Mumbai,2024-02-23 21:05:00,66.0,225.0,Late
197,4064,Biryani House,Chennai,2024-03-27 09:28:00,64.0,537.0,Late
198,1300,Curry Corner,Hyderabad,2024-05-08 10:40:00,15.0,622.0,On Time
199,3735,Sushi World,Bangalore,2024-05-26 08:50:00,,,Late
200,4435,Pasta Point,Hyderabad,2024-05-05 15:04:00,66.0,1449.0,Late
201,2877,Taco Street,Delhi,2024-05-09 09:40:00,54.0,1197.0,Late
202,4035,Taco Street,Mumbai,2024-02-22 22:29:00,,999.0,Late
203,4248,Biryani House,Bangalore,2024-06-20 14:56:00,87.0,1467.0,Late
204,4873,Spicy Hub,Delhi,2024-06-08 18:38:00,83.0,478.0,Late
205,3191,Biryani House,Mumbai,2024-06-08 16:35:00,,1158.0,On Time
206,1522,Curry Corner,Bangalore,2024-03-08 13:26:00,16.0,474.0,On Time
207,4552,Curry Corner,Hyderabad,2024-05-02 09:49:00,23.0,581.0,On Time
208,4563,Curry Corner,Delhi,2024-05-24 09:17:00,53.0,1218.0,Late
209,2509,Biryani House,Chennai,2024-02-07 16:51:00,44.0,1437.0,On Time
210,3706,Burger Town,Bangalore,2024-01-24 17:48:00,68.0,1207.0,Late
211,4931,Taco Street,Bangalore,2024-03-09 15:35:00,72.0,1311.0,Late
212,4996,Sushi World,Hyderabad,2024-04-25 21:59:00,58.0,1026.0,Late
213,3532,Burger Town,Hyderabad,2024-04-07 21:58:00,57.0,534.0,Late
214,1821,Pizza Palace,Delhi,2024-05-18 21:53:00,24.0,312.0,On Time
215,4508,Sushi World,Chennai,2024-05-23 16:15:00,62.0,510.0,Late
216,1194,Biryani House,Mumbai,2024-04-06 11:53:00,31.0,687.0,On Time
217,1465,Burger Town,Bangalore,2024-05-03 11:54:00,19.0,748.0,On Time
218,4025,Sushi World,Bangalore,2024-03-10 22:04:00,84.0,228.0,Late
219,4147,Pizza Palace,Delhi,2024-04-02 22:08:00,88.0,600.0,Late
220,4231,Burger Town,Mumbai,2024-01-03 09:33:00,78.0,936.0,Late
221,3537,Sushi World,Mumbai,2024-05-27 21:33:00,,1472.0,Late
222,1099,Pizza Palace,Mumbai,2024-06-12 17:35:00,85.0,380.0,Late
223,1115,Biryani House,Delhi,2024-05-26 08:30:00,18.0,560.0,On Time
224,1379,Pasta Point,Bangalore,2024-03-30 17:51:00,42.0,555.0,On Time
225,2618,Biryani House,Hyderabad,2024-05-26 20:19:00,52.0,966.0,Late
226,3871,Taco Street,Bangalore,2024-05-27 11:16:00,80.0,1487.0,Late
227,3110,Curry Corner,Hyderabad,2024-04-05 17:19:00,,1380.0,Late
228,3179,Sushi World,Hyderabad,2024-02-21 17:27:00,74.0,1461.0,Late
229,2271,Biryani House,Delhi,2024-06-09 18:20:00,61.0,1231.0,Late
230,3442,Pizza Palace,Mumbai,2024-06-16 15:56:00,39.0,205.0,On Time
231,3690,Taco Street,Delhi,2024-05-07 09:18:00,80.0,1276.0,Late
232,2434,Pasta Point,Hyderabad,2024-02-08 20:02:00,81.0,1225.0,Late
233,2902,Curry Corner,Bangalore,2024-03-22 19:29:00,83.0,1162.0,Late
234,4023,Pasta Point,Hyderabad,2024-04-13 18:04:00,54.0,1122.0,Late
235,2451,Pizza Palace,Delhi,2024-05-08 15:41:00,64.0,1147.0,Late
236,3961,Taco Street,Bangalore,2024-01-11 08:05:00,54.0,1402.0,Late
237,3717,Taco Street,Mumbai,2024-06-26 22:02:00,51.0,869.0,Late
238,3775,Taco Street,Delhi,2024-05-30 08:48:00,83.0,433.0,Late
239,4397,Pasta Point,Chennai,2024-06-07 11:41:00,31.0,1143.0,On Time
240,2966,Spicy Hub,Hyderabad,2024-02-11 14:23:00,,1269.0,Late
241,3593,Pizza Palace,Mumbai,2024-04-08 16:43:00,55.0,531.0,Late
242,3422,Burger Town,Mumbai,2024-01-07 12:00:00,56.0,851.0,Late
243,1843,Burger Town,Bangalore,2024-05-23 09:49:00,45.0,1178.0,On Time
244,1297,Burger Town,Delhi,2024-03-30 19:50:00,47.0,455.0,Late
245,4350,Burger Town,Hyderabad,2024-04-21 14:53:00,57.0,1130.0,Late
246,4043,Pasta Point,Chennai,2024-02-29 18:51:00,81.0,790.0,Late
247,1295,Taco Street,Hyderabad,2024-04-22 09:35:00,52.0,1417.0,Late
248,4598,Taco Street,Delhi,2024-01-02 16:14:00,55.0,1430.0,Late
249,1114,Spicy Hub,Mumbai,2024-05-08 16:40:00,,292.0,Late
250,3540,Spicy Hub,Chennai,2024-02-17 10:37:00,54.0,351.0,Late
251,4128,Spicy Hub,Bangalore,2024-05-19 20:43:00,44.0,1174.0,On Time
252,3926,Curry Corner,Delhi,2024-02-06 15:17:00,61.0,1123.0,Late
253,4213,Sushi World,Hyderabad,2024-06-08 18:22:00,36.0,895.0,On Time
254,3766,Pasta Point,Delhi,2024-01-09 11:46:00,69.0,,Late
255,3699,Burger Town,Bangalore,2024-04-08 10:28:00,57.0,1091.0,Late
256,3666,Pasta Point,Hyderabad,2024-05-26 08:50:00,75.0,426.0,Late
257,2908,Sushi World,Chennai,2024-02-17 12:40:00,88.0,900.0,Late
258,2826,Burger Town,Hyderabad,2024-05-10 20:21:00,46.0,368.0,Late
259,3456,Pasta Point,Hyderabad,2024-05-27 21:23:00,18.0,520.0,On Time
260,4149,Burger Town,Bangalore,2024-05-31 18:44:00,59.0,201.0,Late
261,2025,Burger Town,Hyderabad,2024-02-23 11:47:00,86.0,1372.0,Late
262,1785,Pasta Point,Delhi,2024-04-29 08:12:00,34.0,615.0,On Time
263,1034,Spicy Hub,Mumbai,2024-06-09 17:32:00,85.0,953.0,Late
264,2800,Biryani House,Bangalore,2024-05-31 15:49:00,79.0,1083.0,Late
265,3442,Taco Street,Bangalore,2024-04-25 15:21:00,74.0,760.0,Late
266,4289,Curry Corner,Bangalore,2024-03-15 20:34:00,40.0,217.0,On Time
267,2090,Biryani House,Delhi,2024-04-22 15:16:00,87.0,1422.0,Late
268,4140,Burger Town,Delhi,2024-06-12 10:21:00,37.0,1016.0,On Time
269,4295,Biryani House,Delhi,2024-06-14 13:04:00,54.0,487.0,Late
270,1360,Burger Town,Delhi,2024-04-13 19:24:00,16.0,1264.0,On Time
271,3505,Burger Town,Hyderabad,2024-03-24 19:05:00,,974.0,On Time
272,1293,Biryani House,Bangalore,2024-04-21 14:52:00,76.0,988.0,Late
273,4397,Pizza Palace,Bangalore,2024-04-08 16:16:00,58.0,915.0,Late
274,2226,Pasta Point,Chennai,2024-06-01 12:30:00,45.0,446.0,On Time
275,3640,Burger Town,Mumbai,2024-04-02 16:16:00,40.0,909.0,On Time
276,1954,Spicy Hub,Hyderabad,2024-05-25 13:58:00,19.0,766.0,On Time
277,4649,Biryani House,Mumbai,2024-05-07 17:32:00,84.0,1399.0,Late
278,3344,Biryani House,Hyderabad,2024-04-19 17:38:00,49.0,412.0,Late
279,2815,Biryani House,Hyderabad,2024-03-22 17:53:00,30.0,718.0,On Time
280,1945,Spicy Hub,Hyderabad,2024-02-23 11:47:00,45.0,834.0,On Time
281,1260,Biryani House,Bangalore,2024-06-11 20:36:00,28.0,275.0,On Time
282,3836,Sushi World,Mumbai,2024-06-17 08:47:00,39.0,,On Time
283,2541,Pasta Point,Mumbai,2024-06-09 08:03:00,89.0,,Late
284,4203,Taco Street,Delhi,2024-03-08 21:42:00,85.0,1053.0,Late
285,2800,Taco Street,Mumbai,2024-02-02 17:13:00,32.0,1398.0,On Time
286,4396,Spicy Hub,Delhi,2024-05-21 12:12:00,64.0,253.0,Late
287,4139,Sushi World,Chennai,2024-01-21 20:26:00,34.0,821.0,On Time
288,4197,Curry Corner,Delhi,2024-02-17 21:23:00,70.0,473.0,Late
289,2416,Pizza Palace,Hyderabad,2024-05-27 10:26:00,16.0,543.0,On Time
290,1401,Spicy Hub,Bangalore,2024-05-07 12:07:00,,488.0,On Time
291,3874,Pasta Point,Hyderabad,2024-05-15 12:52:00,37.0,1354.0,On Time
292,4754,Burger Town,Chennai,2024-05-14 08:51:00,46.0,737.0,Late
293,1335,Pasta Point,Bangalore,2024-05-24 21:46:00,,1056.0,On Time
294,4009,Biryani House,Chennai,2024-05-07 15:49:00,27.0,667.0,On Time
295,3076,Pasta Point,Hyderabad,2024-02-02 12:38:00,31.0,943.0,On Time
296,4759,Curry Corner,Bangalore,2024-06-24 12:20:00,72.0,349.0,Late
297,2842,Burger Town,Chennai,2024-04-24 16:50:00,41.0,1163.0,On Time
298,2961,Sushi World,Delhi,2024-04-28 15:56:00,31.0,735.0,On Time
299,3851,Pasta Point,Mumbai,2024-01-22 20:40:00,52.0,1387.0,Late
300,1843,Pasta Point,Hyderabad,2024-06-06 08:10:00,28.0,1399.0,On Time
301,2640,Sushi World,Delhi,2024-02-07 10:30:00,28.0,1282.0,On Time
302,1044,Biryani House,Chennai,2024-04-18 19:26:00,26.0,1288.0,On Time
303,2124,Pasta Point,Chennai,2024-02-20 14:41:00,83.0,405.0,Late
304,2249,Pizza Palace,Bangalore,2024-01-08 08:45:00,82.0,555.0,Late
305,3466,Pasta Point,Delhi,2024-01-27 08:47:00,69.0,628.0,Late
306,1615,Curry Corner,Chennai,2024-01-27 12:26:00,,1465.0,Late
307,3309,Sushi World,Bangalore,2024-01-21 16:07:00,43.0,928.0,On Time
308,1764,Burger Town,Mumbai,2024-01-30 13:32:00,,487.0,Late
309,2700,Taco Street,Mumbai,2024-04-06 17:11:00,18.0,695.0,On Time
310,3339,Pasta Point,Bangalore,2024-01-28 09:34:00,30.0,408.0,On Time
311,4283,Spicy Hub,Delhi,2024-04-20 18:33:00,80.0,902.0,Late
312,4727,Biryani House,Bangalore,2024-03-01 16:15:00,37.0,507.0,On Time
313,2479,Spicy Hub,Bangalore,2024-02-17 13:35:00,82.0,1421.0,Late
314,4307,Taco Street,Delhi,2024-05-26 12:01:00,34.0,953.0,On Time
315,1533,Curry Corner,Mumbai,2024-01-04 12:11:00,31.0,588.0,On Time
316,2092,Curry Corner,Chennai,2024-02-04 22:26:00,66.0,691.0,Late
317,2604,Sushi World,Mumbai,2024-02-18 19:55:00,20.0,723.0,On Time
318,2269,Spicy Hub,Delhi,2024-01-17 10:16:00,,904.0,Late
319,1574,Taco Street,Hyderabad,2024-06-20 21:19:00,48.0,1354.0,Late
320,1236,Pizza Palace,Delhi,2024-06-06 13:20:00,68.0,1280.0,Late
321,4402,Biryani House,Mumbai,2024-02-15 22:29:00,79.0,372.0,Late
322,3410,Taco Street,Mumbai,2024-04-26 22:41:00,43.0,309.0,On Time
323,1530,Pizza Palace,Delhi,2024-01-06 20:19:00,55.0,1293.0,Late
324,3790,Taco Street,Delhi,2024-04-08 11:07:00,77.0,1029.0,Late
325,3512,Taco Street,Delhi,2024-05-03 20:17:00,46.0,1173.0,Late
326,2252,Taco Street,Mumbai,2024-02-06 19:56:00,80.0,421.0,Late
327,4941,Taco Street,Bangalore,2024-01-24 17:17:00,59.0,953.0,Late
328,2532,Taco Street,Hyderabad,2024-04-02 21:17:00,31.0,928.0,On Time
329,3429,Pasta Point,Bangalore,2024-02-15 22:01:00,57.0,649.0,Late
330,1126,Taco Street,Mumbai,2024-04-04 09:11:00,80.0,740.0,Late
331,1657,Biryani House,Bangalore,2024-04-08 20:31:00,82.0,1406.0,Late
332,4953,Pasta Point,Delhi,2024-04-25 10:41:00,48.0,,Late
333,2864,Pizza Palace,Chennai,2024-06-08 16:07:00,15.0,576.0,On Time
